Name,Category,Website,Phone no.
Atelier BF auto,Garage • Carrosserie,Rendez-vous,N/Acc
Christian Rey,Garage • Commerce d'Automobiles neuves et d'occasion,tel:+41273235333,http://www.garagechristianrey.ch/
Elias Auto Garage Sàrl,Garage • Commerce d'Automobiles neuves et d'occasionOccasions,tel:+41273211333,https://www.elias-autogarage.ch/
FIPA carXpert,Garage • Carrosserie,tel:+41273466016,http://carxpert.ch/fr/partners-garagen/garage-fipa-carxpert.html
Garage Boson SA,Garage,tel:+41277671278,http://www.garage-boson.ch/
Garage Brigger GmbH,Garage,tel:+41279565161,http://www.garage-brigger.ch/
Garage Cornut SA,Agences d'Automobiles • Garage,tel:+41244826010,http://www.garagecornut.ch/
Garage D'Errico Automobile Sàrl,Garage • Pneus,Rendez-vous,N/Acc
Garage de Nendaz,Garage • Station-service • Pneus • Dépannage automobilesCarrosserieAccessoires et pièces détachées d'AutomobilesRéparations,tel:+41272882723,http://www.garagedenendaz.stopgo.ch/
Garage Delta Michel Luyet & Fils SA,Garage • Location de véhicules • Agences d'AutomobilesCommerce d'Automobiles neuves et d'occasion,tel:+41273223469,http://www.garage-delta.ch/
Garage des Alpes,Garage • Commerce d'Automobiles neuves et d'occasion,tel:+41272833444,http://www.garage-des-alpes.ch/
Garage des Fournaises,Garage • Commerce d'Automobiles neuves et d'occasion,tel:+41272037280,http://www.garage-les-fournaises.ch/
Garage des Iles SA,Garage • Carrosserie,tel:+41244851390,http://www.toyota-chablais.ch/
Garage du Mont-Blanc Moulin SA,Garage • Agences d'Automobiles • Accessoires et pièces détachées d'AutomobilesRéparationsDépannageCommerce d'Automobiles neuves et d'occasion,tel:+41277221181,http://www.garagemontblanc.ch/
Garage du Nord Martigny Sàrl,Garage • Agences d'Automobiles • Commerce d'Automobiles neuves et d'occasionOccasions,tel:+41277232060,http://www.seat-valais.ch/
Garage Gitz,Garage • Pneus,tel:+41279324320,http://www.garage-gitz.ch/
Garage Le Parc D'Andrès S.A,Garage • Commerce d'Automobiles neuves et d'occasion,tel:+41274562222,http://www.dandres.ch/
Garage Olympia Imhof Edi GmbH,Garage • Commerce d'Automobiles neuves et d'occasion,tel:+41279234221,http://www.garage-olympia.ch/
Garage Susten AG,Garage • Agences d'Automobiles • Accessoires et pièces détachées d'AutomobilesAuto-électricité et électroniqueCommerce d'Automobiles neuves et d'occasionOccasions,tel:+41274732518,http://www.garage-susten.ch/
Garage TAG SA,Garage • Commerce d'Automobiles neuves et d'occasion,tel:+41277852285,http://www.garage-tag.ch/
MC Autos Melly Jean-Philippe,Garage,tel:+41274582025,http://www.mc-autos.ch/
Moix Freddy,Garage • Agences d'Automobiles,tel:+41272034838,http://www.garagemoix.ch/
MONTAYGOM,Pneus • Garage,tel:+41245650646,http://montaygom.ch/
Revaz Autos SA,Démolition d'Automobiles • Pièces détachées • Garage • CarrosserieOccasions,tel:+41277642424,http://www.revaz.ch/
Richoz Francis,Garage • Agences d'Automobiles,tel:+41244811920,https://www.garage-richoz-hyundai.ch/
Garage Furka,Garage • Carrosserie,tel:+41279231174,http://www.garagewyssen.ch/
Blatter AG,Garage • Location de véhicules • Commerce d'Automobiles neuves et d'occasionTuning,tel:+41279481270,https://www.stopgo.ch/de/garage/garage-landbruecke.html
Garage Moderne AG Walpen Visp,Garage,tel:+41275101818,http://www.mercedes-oberwallis.ch/
"Atlas Automobiles SA, succursale de Sierre",Garage • Commerce d'Automobiles neuves et d'occasionVéhicules utilitairesLocation de véhicules,tel:+41274517070,http://www.atlasautomobiles.ch/
Auto Moto Massa GmbH,Garage • Carrosserie • Services,tel:+41279272633,http://www.massa-bitsch.ch/
Auto Secours Sierrois Sàrl,Garage • Dépannage automobiles • Dépannage,tel:+41274552424,http://www.auto-secours-sierrois.ch/fr
Auto Walpen AG,Garage • Carrosserie,tel:+41279711643,http://www.autowalpen.ch/
AUTORAF SA,Garage • Réparations • Commerce d'Automobiles neuves et d'occasionAccessoires et pièces détachées d'AutomobilesPneus,tel:+41244727871,http://www.autoraf.ch/
Brandalise K. et fils SA,Atelier mécanique • Garage • Tondeuses à gazon • TracteursElévateurs LevageMachines et outils agricolesMachines agricoles,tel:+41273063535,http://www.brandalise-ardon.ch/
Carline Boisset SA,Commerce d'Automobiles neuves et d'occasion • GarageAgences d'AutomobilesPneusLocation de véhicules,tel:+41277216516,http://www.carlineautomobiles.ch/
Carrosserie du Rhône Riddes Sàrl,Carrosserie • Garage,tel:+41798837397,https://www.carrosserie-du-rhone.ch/
